Sequence,Volume,Prim_X_Copy,Prim_Y_Copy,Sec_Length,Sec_Breadth,Sec_Height,Prim_Flap,Prim_Cal,Prim_E1,Prim_E2,Headspace,Sec_Flap,Sec_Caliper,Sec_E1,Sec_E2,TopLoad
237,117.96875,2,8,12.5,16,9.4375,1.6,18,5029.93,1050,0.75,8,3.6,465,316,1035.65
238,258.9743059,2,8,15.312,21.12,12.813,1.584,18,5029.93,1050,0.75,4,3.6,465,316,1188.45
239,258.9743059,2,8,15.312,21.12,12.813,1.584,18,5029.93,1050,0.75,4,3,852,509,1355.41
240,258.9743059,2,8,15.312,21.12,12.813,1.584,24,5029.93,1050,0.75,4,3.6,465,316,1706.34
241,258.9743059,2,8,15.312,21.12,12.813,2.112,18,5029.93,1050,0.75,4,3.6,465,316,1066.54
242,258.9743059,2,8,15.312,21.12,12.813,2.112,18,5029.93,1050,0.75,4,3,852,509,1199.42
243,258.9743059,2,8,15.312,21.12,12.813,2.112,18,5029.93,1050,0.75,10.56,3.6,465,316,1145.26
244,386.802,2,8,19,24.128,13.5,1.8096,18,5029.93,1050,0.75,4,3.6,465,316,1080.29
245,386.802,2,8,19,24.128,13.5,1.8096,18,5029.93,1050,0.75,4,3,852,509,1227.76
246,386.802,2,8,19,24.128,13.5,1.8096,24,5029.93,1050,0.75,4,3,852,509,1689.41
247,386.802,2,8,19,24.128,13.5,2.4128,18,5029.93,1050,0.75,4,3.6,465,316,1118.27
248,386.802,2,8,19,24.128,13.5,2.4128,18,5029.93,1050,0.75,4,3,852,509,1215.96
249,386.802,2,8,19,24.128,13.5,2.4128,18,5029.93,1050,0.75,12.064,3.6,465,316,1212.18
250,117.96875,2,8,12.5,16,9.4375,1.2,18,5029.93,1050,0,4,3.6,465,316,1123.58
251,117.96875,2,8,12.5,16,9.4375,1.2,18,5029.93,1050,0,4,3,852,509,1226.23
252,117.96875,2,8,12.5,16,9.4375,1.6,24,5029.93,1050,0,4,3,852,509,1573.63
253,258.9743059,2,8,15.312,21.12,12.813,1.584,18,5029.93,1050,0,4,3.6,465,316,1291.35
254,258.9743059,2,8,15.312,21.12,12.813,1.584,18,5029.93,1050,0,4,3,852,509,1369.92
255,258.9743059,2,8,15.312,21.12,12.813,2.112,24,5029.93,1050,0,4,3,852,509,1636.59
256,386.802,2,8,19,24.128,13.5,1.8096,18,5029.93,1050,0,4,3.6,465,316,1220.35
257,386.802,2,8,19,24.128,13.5,1.8096,18,5029.93,1050,0,4,3,852,509,1275.02
258,386.802,2,8,19,24.128,13.5,1.8096,24,5029.93,1050,0,12.064,3,852,509,1737.05
259,117.96875,2,8,12.5,16,9.4375,1.2,24,3979.13,1437.87,0.75,8,3,852,509,1668.23
260,258.9743059,2,8,15.312,21.12,12.813,1.584,18,3979.13,1437.87,0.75,4,3.6,465,316,1264.86
261,258.9743059,2,8,15.312,21.12,12.813,1.584,24,3979.13,1437.87,0.75,10.56,3,852,509,1663.26
262,386.802,2,8,19,24.128,13.5,1.8096,18,3979.13,1437.87,0.75,4,3,852,509,1284.64
263,386.802,2,8,19,24.128,13.5,1.8096,24,3979.13,1437.87,0.75,12.064,3,852,509,1755.77
264,117.96875,2,8,12.5,16,9.4375,1.2,18,3979.13,1437.87,0,4,3.6,465,316,1194.28
265,117.96875,2,8,12.5,16,9.4375,1.2,24,3979.13,1437.87,0,8,3,852,509,1806.94
266,117.96875,2,8,12.5,16,9.4375,1.6,18,3979.13,1437.87,0,4,3,852,509,1273.49
267,117.96875,2,8,12.5,16,9.4375,1.6,24,3979.13,1437.87,0,4,3,852,509,1758.58
268,117.96875,2,8,12.5,16,9.4375,1.6,18,3979.13,1437.87,0,8,3.6,465,316,1271.01
269,117.96875,2,8,12.5,16,9.4375,1.6,18,3979.13,1437.87,0,8,3,852,509,1338.38
270,117.96875,2,8,12.5,16,9.4375,1.6,24,3979.13,1437.87,0,8,3.6,465,316,1680.13
271,117.96875,2,8,12.5,16,9.4375,1.6,24,3979.13,1437.87,0,8,3,852,509,1789.94
272,258.9743059,2,8,15.312,21.12,12.813,1.584,24,3979.13,1437.87,0,10.56,3,852,509,2035.15
273,258.9743059,2,8,15.312,21.12,12.813,2.112,18,3979.13,1437.87,0,4,3,852,509,1304.69
274,258.9743059,2,8,15.312,21.12,12.813,2.112,24,3979.13,1437.87,0,4,3,852,509,1785.73
275,258.9743059,2,8,15.312,21.12,12.813,2.112,18,3979.13,1437.87,0,10.56,3.6,465,316,1253.05
276,258.9743059,2,8,15.312,21.12,12.813,2.112,18,3979.13,1437.87,0,10.56,3,852,509,1371.57
277,258.9743059,2,8,15.312,21.12,12.813,2.112,24,3979.13,1437.87,0,10.56,3.6,465,316,1745.62
278,386.802,2,8,19,24.128,13.5,1.8096,18,3979.13,1437.87,0,12.064,3,852,509,1376.96
279,386.802,2,8,19,24.128,13.5,1.8096,24,3979.13,1437.87,0,12.064,3.6,465,316,1732.62
280,386.802,2,8,19,24.128,13.5,1.8096,24,3979.13,1437.87,0,12.064,3,852,509,1824.23
281,386.802,2,8,19,24.128,13.5,2.4128,24,3979.13,1437.87,0,4,3,852,509,1869.85
282,386.802,2,8,19,24.128,13.5,2.4128,24,3979.13,1437.87,0,12.064,3,852,509,1990.37
